title,genre,episode_range,description,disclaimer
Ore Monogatari!!,"Comedy, Romance",Medium,"Ore Monogatari!! (also known as My Love Story!!) is a Japanese anime based on the manga by Kazune Kawahara. The story follows Takeo Goda, a large, strong, and somewhat intimidating high school student who is often misunderstood because of his appearance. However, he has a kind heart and is deeply loyal to his friends. His life changes when he saves a shy, sweet girl named Rinko Yamato from a train molester, and she falls in love with him. The anime explores their developing relationship, with Takeo's best friend, the charming and popular Sunakawa, playing a key role in their lives. The series is a heartwarming, romantic comedy that breaks away from typical romance tropes, focusing on the unique and sweet relationship between the two.

Ore Monogatari!! has 24 episodes, which aired from April to September 2015.","A romantic comedy with themes of self-discovery, love, and friendship. Generally family-friendly with mild romantic tension."
Ouran High School Host Club,"Comedy, Romance",Medium,"Ouran High School Host Club is a Japanese anime based on the manga by Bisco Hatori. The story follows Haruhi Fujioka, a scholarship student at the prestigious Ouran Academy. Haruhi stumbles upon the Host Club, a group of handsome boys who entertain female students by pretending to be charming suitors. After accidentally breaking a vase worth millions, Haruhi is forced to join the club to repay her debt. However, she keeps her true identity as a girl a secret, and her interactions with the eccentric and flamboyant host club members lead to humorous and heartwarming moments. The series is a romantic comedy that explores themes of identity, friendship, and love.

Ouran High School Host Club has 26 episodes, which aired from April to September 2006. Additionally, the anime has a special episode and an OVA (Original Video Animation).",Contains humor and romantic elements with some mild fanservice. Suitable for older teens and young adults.
Slam Dunk,Sports,Very Long,"Slam Dunk is a classic Japanese anime based on the manga by Takehiko Inoue. The story follows Hanamichi Sakuragi, a high school delinquent with no interest in basketball, who is motivated to join the school team to impress a girl named Haruko Akagi. However, he soon discovers a natural talent for the sport and develops a deep passion for basketball. With the help of his teammates, including the talented and cool-headed Kaede Rukawa, Sakuragi grows both as a player and a person. The anime blends humor, drama, and intense basketball action, and it is widely regarded as one of the best sports anime of all time.

Slam Dunk has a total of 101 episodes, which aired from October 1993 to March 1996.","A sports anime focusing on basketball with themes of teamwork, rivalry, and perseverance. Mild violence due to sports competition."
Spy x Family,"Action, Comedy",Long,"Spy x Family is a Japanese anime based on the manga written by Tatsuya Endo. The story follows Twilight, a highly skilled spy working under the alias ""Loid Forger,"" who is assigned a mission to infiltrate a prestigious school and get close to a target. To do so, he creates a fake family, adopting a young girl named Anya, who unbeknownst to him, has the ability to read minds. He also marries Yor, who is secretly an assassin. The series follows the comedic and heartwarming adventures of this unusual family as they navigate their respective secrets while trying to maintain the illusion of a perfect family life. The anime blends action, humor, and emotional moments as the characters grow closer despite their hidden identities.

As of now, Spy x Family has 2 seasons:
Season 1 – 25 episodes, aired from April to October 2022.
Season 2 – 12 episodes, aired from October to December 2023.
In total, there are 37 episodes across both seasons.","A comedy-action series with themes of family, espionage, and humor. Suitable for a broad audience with some mild action scenes."
Steins; Gate,"Drama, Sci-Fi, Suspense",Medium,"Steins;Gate is a Japanese anime based on the visual novel developed by 5bp and Nitroplus. The story follows Rintarou Okabe, a self-proclaimed ""mad scientist"" who accidentally discovers time travel using a microwave that sends messages to the past. Along with his friends, including the genius hacker Mayuri and the mysterious Kurisu, Okabe becomes embroiled in a complex and dangerous conspiracy that involves altering timelines and preventing catastrophic events. The series is a mix of science fiction, thriller, and emotional drama, exploring the consequences of time travel and the impact of decisions on the future.

Steins;Gate has 24 episodes in its main season, which aired from April to September 2011. There is also a special episode (Steins;Gate: Egoistic Poriomania) and a sequel series, Steins;Gate 0, which further explores the story.","A psychological sci-fi thriller that explores time travel, with intense emotional moments and some mature themes."
Sukitte Ii na yo,Romance,Short,"Sukitte Ii na yo (also known as Say I Love You) is a Japanese anime based on the manga by Kanae Hazuki. The story follows Mei Tachibana, a shy, antisocial high school girl who has been hurt by others in the past and prefers to keep to herself. Her life changes when she meets Yamato Kurosawa, a popular and handsome boy who becomes interested in her. As their relationship develops, Mei learns to open up and trust others, while navigating the ups and downs of first love, friendship, and personal growth. The anime is a sweet, romantic drama that explores themes of vulnerability, acceptance, and the complexities of relationships.

Sukitte Ii na yo has 13 episodes, which aired from October 2012 to December 2012.","A romance with themes of personal growth, friendship, and love. Contains some emotional and mature themes."
Sword Art Online,"Action, Adventure, Fantasy, Romance",Very Long,"Sword Art Online is a Japanese anime based on the light novel series written by Reki Kawahara. The story is set in the near future, where players of a virtual reality MMORPG (Massively Multiplayer Online Role-Playing Game) called Sword Art Online are trapped inside the game. If they die in the game, they die in real life. The protagonist, Kirito, a skilled player, becomes one of the trapped players and works to clear the game's levels to escape. Along the way, he forms strong bonds with other players, including Asuna, a fellow gamer, and together they battle through the game’s dangerous challenges while trying to uncover its mysteries.

Sword Art Online has multiple seasons and arcs:
Season 1 (Aincrad and Fairy Dance Arcs) – 25 episodes, aired from July to December 2012.
Season 2 (Phantom Bullet, Calibur, and Mother's Rosario Arcs) – 24 episodes, aired from July to December 2014.
Season 3 (Alicization Arc) – 48 episodes, split into two parts (2018–2019).
Season 4 (Progressive: Aria of a Starless Night and Synthesis) – 23 episodes (ongoing as of 2024).
In total, as of 2024, Sword Art Online has 140 episodes across its various seasons and arcs.",Features virtual reality worlds and battles with occasional violence and darker themes surrounding survival and personal relationships.
Toradora!,"Drama, Romance",Medium,"Toradora! is a Japanese anime based on the light novel by Yuyuko Tokemiya. The story revolves around two high school students: Ryuuji Takasu, a kind but misunderstood boy with an intimidating face, and Taiga Aisaka, a small but fiery and aggressive girl known as the ""Palmtop Tiger."" Despite their differences, the two form an unlikely friendship and agree to help each other with their respective crushes—Ryuuji’s on his best friend’s mother and Taiga’s on Ryuuji's close friend, Yuusaku. As the story progresses, their relationship deepens, and both characters undergo significant emotional growth, realizing that their feelings for each other may be more complicated than they initially thought.

Toradora! has 25 episodes, which aired from October 2008 to March 2009. It also has several special episodes and an OVA.","A romantic comedy-drama with themes of love, personal growth, and high school life. Contains mild emotional tension and mature themes."
Violet Evergarden,Drama,Short,"Violet Evergarden is a Japanese anime based on the light novel by Kana Akatsuki. The story follows Violet Evergarden, a former child soldier who, after the war ends, struggles to find a new purpose in life. She begins working as an ""Auto Memory Doll,"" a professional who writes letters for people to help them express their emotions. As Violet writes letters for others, she also embarks on a personal journey to understand her own feelings and come to terms with her past, particularly the loss of her beloved commander, Gilbert Bougainvillea. The anime is known for its stunning animation, emotional depth, and exploration of themes like love, loss, and healing.

Violet Evergarden has 13 episodes in its main season, which aired from January to April 2018. Additionally, there is a movie released in 2020 (Violet Evergarden: Eternity and the Auto Memory Doll), and another movie sequel released in 2021 (Violet Evergarden: The Movie).","A beautiful and emotionally intense story that deals with war, loss, and personal healing. Viewer discretion is advised for sensitive themes."
Your Lie in April,"Drama, Romance",Medium,"Your Lie in April (also known as Shigatsu wa Kimi no Uso) is a Japanese anime based on the manga by Naoshi Arakawa. The story follows Kousei Arima, a piano prodigy who loses his ability to hear the sound of the piano after his mother’s death, leading him to quit playing music. His life changes when he meets a spirited and talented violinist named Kaori Miyazono, who encourages him to rediscover his love for music. As their relationship grows, Kousei learns to confront his past and the emotional scars left by his mother. The anime beautifully blends music, drama, and romance, exploring themes of love, loss, and healing.

Your Lie in April has 22 episodes, which aired from October 2014 to March 2015. It also has an additional 2 OVA episodes.","A drama about music, love, and personal growth, with emotionally intense moments that may be difficult for sensitive viewers."
